site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
CA-NS6,6,3.9,,244,495.37,-3.08,AMF_FLX,,,,,55.9167,-98.9644,OSH,Dfc,,,2001,2005,0.189375887,0.403849989,0.193149999,0.198620006,0.537519991,0.21069999
CA-NS7,6,3.9,,297,483.27,-3.52,AMF_FLX,,,,,56.6358,-99.9483,OSH,Dfc,,,2001,2005,0.112513011,0.413390011,0.200069994,0.200000003,0.554359972,0.213320017
CA-Qfo,24,5.8,,382,962.32,-0.36,AMF_FLX,,,,,49.6925,-74.3421,ENF,Dfc,,,2003,2010,1.493736483,0.481409997,0.27956,0.164230004,0.673609972,0.201849997
CA-SF1,12.1,2.5,,536,470,0.4,AMF_FLX,,,,,54.485,-105.8176,ENF,Dfc,,,2003,2006,2.211926456,0.508979976,0.272799999,0.188170001,0.69976002,0.236179978
CA-SF2,9.144,2.5,,520,470,0.4,AMF_FLX,,,,,54.2539,-105.8775,ENF,Dfc,,,2001,2006,3.55293442,0.473509997,0.269749999,0.173299998,0.658779979,0.203759998
CA-TP1,13.6,5.8,,265,1036,8,AMF_FLX,,,,,42.6609,-80.5595,ENF,Dfb,,,2002,2017,5.856319784,0.285109997,0.174659997,0.10503,0.477470011,0.11045
CA-TP3,20.5,5.8,,184,1036,8,AMF_FLX,,,,,42.7068,-80.3483,ENF,Dfb,,,2002,2017,13.79569939,0.281269997,0.171729997,0.103890002,0.502659976,0.109540001
CA-TPD,36.6,4.7,,260,1036,8,FLUXNET2015,,,,,42.6353,-80.5577,DBF,Dfb,,,2012,2014,7.821244329,0.29449001,0.175380006,0.113329999,0.483720005,0.119110003
MX-Tes,13,4.7,,460,647,24.3,AMF_FLX,,,,,27.8446,-109.2977,DBF,Bsh,,,2004,2008,0.138440335,0.325859994,0.129030004,0.18897,0.431300014,0.19682999
PE-QFR,40,6.5,,104,,,AMF_FLX,,,,,-3.8344,-73.319,WET,Af,,,2018,2019,7.761467179,0.262010008,0.147679999,0.110189997,0.462830007,0.114330009
US-A32,3.77,3.4,,335,889,33.9,AMF_FLX,,,,,36.8193,-97.8198,GRA,Cfa,,,2015,2017,0.000928823,0.310860008,0.178430006,0.12748,0.413040012,0.132430002
US-A74,3.77,3.8,,337,889,33.9,AMF_FLX,,,,,36.8085,-97.5489,CRO,Cfa,,,2016,2017,0,0.315800011,0.183929995,0.126959994,0.416570008,0.131870016
US-ALQ,2.4,6.5,,,,,AMF_FLX,,,,,46.0308,-89.6067,WET,Dfb,,,2015,2023,11.64552765,0.297740012,0.194230005,0.097127996,0.501259983,0.103510007
US-AR1,3.13,3.4,,611,,,AMF_FLX,,,,,36.4267,-99.42,GRA,Dsa,,,2009,2012,0.321858442,0.235389993,0.130610004,0.100359999,0.389180005,0.104779989
US-AR2,3.25,3.6,,646,,,AMF_FLX,,,,,36.6358,-99.5975,GRA,Dsa,,,2009,2012,0,0.184349999,0.100934997,0.081348002,0.377759993,0.083415002
US-ARb,4,3.4,,424,,,AMF_FLX,,,,,35.5497,-98.0402,GRA,Cfa,,,2005,2006,0,0.280539989,0.157179996,0.118419997,0.397680014,0.123359993
US-ARc,4.05,3.4,,424,,,AMF_FLX,,,,,35.5465,-98.04,GRA,Cfa,,,2005,2006,0.007555919,0.270249993,0.149780005,0.115510002,0.394829988,0.120469987
US-ARM,60,3.8,,314,843,14.76,AMF_FLX,,,,,36.6058,-97.4888,CRO,Cfa,,,2003,2023,0.027944695,0.318269998,0.182539999,0.130649999,0.420560002,0.135729998
US-Bar,26.5,4.7,,272,1245.77,5.61,AMF_FLX,,,,,44.0646,-71.2881,DBF,Dfb,,,2004,2022,16.85811232,0.298460007,0.199883997,0.092436001,0.496179998,0.098576009
US-Bi1,3.9,3.8,,-2.7,338,16,AMF_FLX,,,,,38.0992,-121.4993,CRO,Csa,,,2016,2021,0,0.36383,0.164320007,0.190990001,0.465629995,0.199509993
